date,year,currency_symbol,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,freeCashFlow,changeInCash,totalRevenue,grossProfit,operatingIncome,ebitda,netIncome,revenue_growth_rate,fcf_margin,ocf_conversion
2015-09-30,2015,USD,81266000000.0,-56274000000.0,-17716000000.0,69778000000.0,7276000000.0,233715000000.0,93626000000.0,71230000000.0,83748000000.0,53394000000.0,0.27856341803659834,0.29856021222429024,1.5220062179271079
2016-09-30,2016,USD,65824000000.0,-45977000000.0,-20483000000.0,52276000000.0,-636000000.0,215639000000.0,84263000000.0,60024000000.0,72628000000.0,45687000000.0,-0.07734206191301374,0.24242368031756778,1.4407599535973035
2017-09-30,2017,USD,63598000000.0,-46446000000.0,-17347000000.0,50803000000.0,-195000000.0,229234000000.0,88186000000.0,61344000000.0,75812000000.0,48351000000.0,0.06304518199398057,0.22162070199010617,1.3153399102397054
2018-09-30,2018,USD,77434000000.0,16066000000.0,-87876000000.0,64121000000.0,5624000000.0,265595000000.0,101839000000.0,70898000000.0,87046000000.0,59531000000.0,0.15861957650261305,0.24142397258984544,1.300734071324184
2019-09-30,2019,USD,69391000000.0,45896000000.0,-90976000000.0,58896000000.0,24311000000.0,260174000000.0,98392000000.0,63930000000.0,81860000000.0,55256000000.0,-0.0204107758052674,0.22637158209505945,1.2558093238743304
2020-09-30,2020,USD,80674000000.0,-4289000000.0,-86820000000.0,73365000000.0,-10435000000.0,274515000000.0,104956000000.0,66288000000.0,81020000000.0,57411000000.0,0.05512080376978479,0.2672531555652697,1.405201093867029
2021-09-30,2021,USD,104038000000.0,-14545000000.0,-93353000000.0,92953000000.0,-3860000000.0,365817000000.0,152836000000.0,108949000000.0,123136000000.0,94680000000.0,0.33259384733074704,0.2540969938521173,1.0988381918039714
2022-09-30,2022,USD,122151000000.0,-22354000000.0,-110749000000.0,111443000000.0,-10952000000.0,394328000000.0,170782000000.0,119437000000.0,130541000000.0,99803000000.0,0.0779378760418461,0.2826149804223895,1.2239211246154926
2023-09-30,2023,USD,110543000000.0,3705000000.0,-108488000000.0,99584000000.0,5760000000.0,383285000000.0,169148000000.0,114301000000.0,125820000000.0,96995000000.0,-0.02800460530319937,0.25981710737440805,1.1396773029537606
2024-09-30,2024,USD,118254000000.0,,-121983000000.0,108807000000.0,-794000000.0,391035000000.0,180683000000.0,123216000000.0,134661000000.0,93736000000.0,0.02021994077514111,0.27825386474356517,1.2615643936161134
